Function                                                    Disassembly
UNKNOWN                                                     
m_ater_process_egress                                           [ B1]  B.S1          0x22b120
l_upd_get_bitrate                                                      CMPEQ.L1      5,A4,A0
p_mips_swap_hook                                                       MVK.S1        113,A0
p_prochist_swap_to                                                     MV.L1         A6,A2
p_mips_swap_hook                                                       STW.D2T1      A10,*+B10[0]
_pop_rts                                                               LDDW.D2T2     *++B15[1],B3:B2
krn_swap_hook                                                          MV.L2X        A11,B3
odo_os_int_stub_stub                                                   LDW.D2T1      *++B15[4],A9
emac_1_rx_isr_func                                                     MVK.S1        0x09c0,A4
handleOp                                                               STW.D2T2      B10,*B15--[2]
EMAC_RxServiceCheck                                                    CALLP.S1      0x2ba5e0,A3
_push_rts                                                              STW.D2T2      B14,*B15--[2]
EMAC_RxServiceCheck                                                    MV.L1         A4,A10
../../../dsp_common/platform/src/ti/csl-c6486/src/chip/csl_chipReadReg.asm:57:211$           MVK.L1        12,A1
EMAC_RxServiceCheck                                                    CMPGT.L1      0,A4,A0
../../../dsp_common/platform/src/ti/csl-c6486/src/chip/csl_chipReadReg.asm:57:211$           MVK.L1        12,A1
EMAC_RxServiceCheck                                                    STW.D1T1      A3,*A4[0]
rx_packet                                                              STW.D2T2      B10,*B15--[2]
CACHE_invL2                                                            STW.D2T1      A11,*B15--[2]
CACHE_waitInternal                                                     MVK.S1        0x3514,A6
CACHE_invL2                                                            MV.L1         A10,A1
_CACHE_wait                                                            CMPEQ.L1      1,A4,A0
CACHE_wait                                                             STW.D2T2      B3,*B15--[2]
CACHE_waitInternal                                                     MVK.S1        0x3514,A6
CACHE_wait                                                             CALLP.S2      0x2b59e0,B3
_CSL_cacheApplyPatch                                                   MVK.S1        0x3518,A4
CACHE_wait                                                             LDW.D2T2      *++B15[2],B3
_CACHE_wait                                                            LDW.D2T2      *++B15[2],B3
CACHE_invL2                                                            LDW.D2T1      *++B15[2],A10
rx_packet                                                              LDW.D2T2      *+B10[3],B5
dc_handle_rx                                                           STW.D2T2      B3,*B15--[2]
receive_eth_frame                                                      STW.D2T1      A11,*B15--[2]
calc_flip_checksum                                                     LDHU.D1T2     *+A4[3],B2
receive_eth_frame                                                      LDW.D2T1      *B6[1],A3
find_flow_by_rx_flow_id                                                MVK.S1        0xffffac98,A7
receive_eth_frame                                                      MV.L2X        A4,B0
alloc_signal                                                           STW.D2T1      A11,*B15--[2]
p_os_alloc_signal                                                      STW.D2T1      A11,*B15--[2]
getIPlatform                                                           BNOP.S2       B3,3
p_os_alloc_signal                                                      MV.L1         A11,A4
s_alloc_nil                                                            STW.D2T1      A11,*B15--[2]
p_os_alloc_signal                                                      LDW.D2T1      *++B15[2],A10
alloc_signal                                                           SUB.L1        A7,A1,A0
receive_eth_frame                                                      MVK.S2        76,B0
p_os_get_system_time_ms                                                STW.D2T2      B3,*B15--[2]
getIPlatform                                                           BNOP.S2       B3,3
p_os_get_system_time_ms                                                MV.L1         A4,A5
get_ticks                                                              MVK.S1        0x0550,A3
receive_eth_frame                                                      MVK.S2        32,B0
memcpy                                                                 AND.D1        1,A6,A0
receive_eth_frame                                                      CALLP.S2      0x2aca00,B3
p_os_send_signal                                                       STW.D2T2      B13,*B15--[2]
getIPlatform                                                           BNOP.S2       B3,3
p_os_send_signal                                                       LDW.D1T1      *A5[A4],A0
send                                                                   MVK.S1        0x0540,A3
odo_send_helper                                                        STW.D2T1      A11,*B15--[2]
p_os_send_signal                                                       MV.L2         B13,B3
receive_eth_frame                                                      ADD.L2        4,B10,B4
dc_handle_rx                                                           BNOP.S1       0x2a9e50,5
ddRead                                                                 EXTU.S1       A4,16,16,A3
dc_handle_rx                                                           MV.L1         A4,A0
rx_packet                                                              MVC.S2        CSR,B4
CACHE_invL2                                                            STW.D2T1      A11,*B15--[2]
CACHE_waitInternal                                                     MVK.S1        0x3514,A6
CACHE_invL2                                                            MV.L1         A10,A1
_CACHE_wait                                                            CMPEQ.L1      1,A4,A0
CACHE_wait                                                             STW.D2T2      B3,*B15--[2]
CACHE_waitInternal                                                     MVK.S1        0x3514,A6
CACHE_wait                                                             CALLP.S2      0x2b59e0,B3
_CSL_cacheApplyPatch                                                   MVK.S1        0x3518,A4
CACHE_wait                                                             LDW.D2T2      *++B15[2],B3
_CACHE_wait                                                            LDW.D2T2      *++B15[2],B3
CACHE_invL2                                                            LDW.D2T1      *++B15[2],A10
rx_packet                                                              MV.L1         A11,A4
EMAC_RxServiceCheck                                                    STW.D2T1      A4,*+B15[7]
_pop_rts                                                               LDDW.D2T2     *++B15[1],B3:B2
handleOp                                                               BNOP.S1       0x2073c6,4
odo_os_int_stub_stub                                                   DINT          
krn_swap_hook                                                          STW.D2T1      A11,*B15--[2]
board_trace_reenable_swap_hook                                         MVK.S1        0x34e0,A4
krn_swap_hook                                                          MPYH.M2X      B0,A2,B0
p_mips_swap_hook                                                       CALLP.S1      0x2ba5e0,A3
_push_rts                                                              STW.D2T2      B14,*B15--[2]
p_mips_swap_hook                                                       MV.L1         A4,A10
board_get_cycle_count                                                  STW.D2T2      B3,*B15--[2]
Tramp$S$$_board_get_powerdown_timer_index                              MVK.S2        0xffffdf20,B31
board_get_powerdown_timer_index                                        STW.D2T2      B3,*B15--[2]
Tramp$S$$_board_get_core_index                                         MVK.S2        0xffffc274,B31
board_get_core_index                                                   MVC.S2        DNUM,B4
board_get_powerdown_timer_index                                        LDW.D2T2      *++B15[2],B3
board_get_cycle_count                                                  MVK.L1        0,A1
p_mips_swap_hook                                                       CALLP.S2      0x2bc328,B3
board_get_cycle_diff                                                   BNOP.S2       B3,1
p_mips_swap_hook                                                       MVK.S1        113,A0
p_prochist_swap_to                                                     MV.L1         A6,A2
p_mips_swap_hook                                                       STW.D2T1      A10,*+B10[0]
_pop_rts                                                               LDDW.D2T2     *++B15[1],B3:B2
krn_swap_hook                                                          MV.L2X        A11,B3
odo_os_int_stub_stub                                                   LDW.D2T1      *++B15[4],A9
create_trau_from_amr                                                   MVK.S1        128,A4
l_upd_get_payload                                                      BNOP.S2       B3,4
create_trau_from_amr                                                   ADD.L1        A4,8,A0
l_trau_speech_amr_to_trau                                              CALLP.S1      0x2ba5e0,A3
_push_rts                                                              STW.D2T2      B14,*B15--[2]
l_trau_speech_amr_to_trau                                              MVK.S1        0x2da0,A5
memset                                                                 MV.L1         A4,A18
l_trau_speech_amr_to_trau                                              LDHU.D2T1     *+B11[1],A6
l_trau_speech_copy_bits_trau_frame                                     MVK.L1        15,A0
l_trau_speech_amr_to_trau                                              SUB.L1        A11,0x1,A0
l_trau_speech_copy_bits_trau_frame                                     MVK.L1        15,A0
l_trau_speech_amr_to_trau                                              SUB.L1        A11,0x1,A0
l_trau_speech_copy_bits_trau_frame                                     MVK.L1        15,A0
l_trau_speech_amr_to_trau                                              SUB.L1        A11,0x1,A0
l_trau_speech_copy_bits_trau_frame                                     MVK.L1        15,A0
l_trau_speech_amr_to_trau                                              SUB.L1        A11,0x1,A0
_pop_rts                                                               LDDW.D2T2     *++B15[1],B3:B2
create_trau_from_amr                                                   .word         0x00000028
l_trau_speech_set_amr_ctrl_field                                       MVK.S2        0x2bec,B5
create_trau_from_amr                                                   LDBU.D1T1     *+A10[0],A0
set_ta                                                                 CMPEQ.L1X     2,B4,A0
l_trau_speech_set_amr_ctrl_field                                       MVK.S2        0x2bec,B5
set_ta                                                                 BNOP.S1       0x22ab34,5
create_trau_from_amr                                                   CALLP.S2      0x2214a4,B3
l_trau_speech_set_amr_ctrl_field                                       MVK.S2        0x2bec,B5
create_trau_from_amr                                                   LDBU.D1T1     *+A10[0],A0
set_ufe                                                                MVK.S1        118,A5
l_trau_speech_set_amr_ctrl_field                                       MVK.S2        0x2bec,B5
set_ufe                                                                LDW.D2T2      *++B15[2],B3
create_trau_from_amr                                                   LDBU.D1T1     *+A10[1],A0
l_trau_speech_set_amr_tx_type                                          MV.L1X        B3,A2
create_trau_from_amr                                                   LDBU.D1T1     *+A10[1],A14
l_trau_speech_get_amr_ctrl_field                                       ADD.L2        B4,-8,B0
create_trau_from_amr                                                   CMPEQ.L1      0,A4,A0
l_trau_speech_set_amr_ctrl_field                                       MVK.S2        0x2bec,B5
create_trau_from_amr                                                   MV.L1         A12,A0
l_trau_speech_set_amr_trau_crc                                         CALLP.S1      0x2ba5e0,A3
_push_rts                                                              STW.D2T2      B14,*B15--[2]
l_trau_speech_set_amr_trau_crc                                         SUBAW.D2      B15,0x4,B15
memset                                                                 MV.L1         A4,A18
l_trau_speech_set_amr_trau_crc                                         MV.D2         B3,B0
l_trau_speech_compute_amr_speech_trau_crc                              STW.D2T1      A11,*B15--[2]
l_mgw_compute_trau_crc_from_trau                                       MV.L1         A6,A1
l_trau_speech_compute_amr_speech_trau_crc                              SUB.L1        A12,0x1,A0
l_mgw_compute_trau_crc_from_trau                                       MV.L1         A6,A1
l_trau_speech_compute_amr_speech_trau_crc                              SUB.L1        A12,0x1,A0
l_mgw_compute_trau_crc_from_trau                                       MV.L1         A6,A1
l_trau_speech_compute_amr_speech_trau_crc                              SUB.L1        A12,0x1,A0
l_mgw_compute_trau_crc_from_trau                                       MV.L1         A6,A1
l_trau_speech_compute_amr_speech_trau_crc                              SUB.L1        A12,0x1,A0
l_trau_speech_set_amr_trau_crc                                         MVK.S1        0x2de0,A4
_pop_rts                                                               LDDW.D2T2     *++B15[1],B3:B2
create_trau_from_amr                                                   BNOP.S1       0x22b04c,5
_pop_rts                                                               LDDW.D2T2     *++B15[1],B3:B2
m_ater_process_egress                                                  BNOP.S1       0x22bb2c,5
process_egress_trau                                                    STW.D2T1      A11,*B15--[2]
m_ater_sync                                                            CALLP.S1      0x2ba5e0,A3
_push_rts                                                              STW.D2T2      B14,*B15--[2]
m_ater_sync                                                            MV.L2X        A4,B0
check_egress_mode                                                      CALLP.S1      0x2ba5e0,A3
_push_rts                                                              STW.D2T2      B14,*B15--[2]
check_egress_mode                                                      MVK.S1        108,A0
init_ta_fields                                                         STW.D2T2      B13,*B15--[2]
memset                                                                 MV.L1         A4,A18
init_ta_fields                                                         LDW.D1T2      *+A11[3],B1
memset                                                                 MV.L1         A4,A18
init_ta_fields                                                         SUB.L1        A11,0x1,A0
memset                                                                 MV.L1         A4,A18
UNKNOWN                                                     
vector1                                                                STW.D2T2      B11,*B15--[1]
bsp_lib_exception_handler_asm                                          MVK.S1        0x09bc,A10
bsp_lib_exception_handler                                              STW.D2T1      A11,*B15--[2]
board_trace_end_point                                                  BNOP.S2       B3,2
UNKNOWN                                                     
